Školy
Pražská konzervatoř, Praha 1, Na Rejdišti 1
Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22
Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3
Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22
Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3
Malostranské gymnázium, Praha 1, Josefská 7
Taneční konzervatoř hlavního města Prahy, Praha 1, Křížovnická 7
Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17
Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9
GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.
Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18
Konzervatoř a Vyšší odborná škola Jaroslava Ježka
Masarykova střední škola chemická, Praha 1, Křemencova 12
Střední průmyslová škola strojnická, škola hlavního města Prahy, Praha 1, Betlémská 4/287
Gymnázium prof. Jana Patočky, Praha 1, Jindřišská 36
Akademické gymnázium a Jazyková škola s právem státní jazykové zkoušky, školy hlavního města Prahy
Gymnázium, Praha 2, Botičská 1
Hotelová škola, Praha 10, Vršovická 43
Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8
Obchodní akademie Vinohradská
Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30
Arcibiskupské gymnázium
Obchodní akademie, ŠKOLA 2000, s.r.o.
Gymnázium Duhovka s.r.o.
